wt,RID,ev_ne,ev_adoption,ev_consider,ev_ee,ev_pnb,ev_intention,ev_personal.benefit,ev_self.efficacy,solar_ne,solar_adoption,solar_consider,solar_ee,solar_pnb,solar_intention,solar_personal.benefit,solar_self.efficacy,offset_ne,offset_adoption,offset_consider,offset_ee,offset_pnb,offset_intention,offset_personal.benefit,offset_self.efficacy,fw_ne,fw_adoption,fw_consider,fw_ee,fw_pnb,fw_intention,fw_personal.benefit,fw_self.efficacy,wave,ev_outcome.efficacy,solar_outcome.efficacy,community.solar_adoption,community.solar_consider,community.solar_intention,community.solar_ee,community.solar_pnb,community.solar_ne,community.solar_personal.benefit,community.solar_self.efficacy,community.solar_outcome.efficacy,offset_outcome.efficacy,beef_adoption,beef_consider,beef_intention,beef_ee,beef_pnb,beef_ne,beef_personal.benefit,beef_self.efficacy,beef_outcome.efficacy,hp_adoption,hp_consider,hp_intention,hp_ee,hp_pnb,hp_ne,hp_personal.benefit,hp_self.efficacy,hp_outcome.efficacy,ev_difficulty,solar_difficulty,community.solar_difficulty,offset_difficulty,hp_difficulty,beef_difficulty,fw_difficulty,fw_outcome.efficacy
1.317446559,61956fc7-819c-9287-d1d0-7e59d00f5eac,7,0,1,2,0,50,3,4,9,0,1,6,1,40,5,5,2,0,0,0,0,0,1,3,9,1,1,9,1,90,5,5,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.482143251,61957162-80f6-262e-447a-4708dca67233,7,0,1,1,1,60,2,3,5,0,0,1,1,10,2,1,3,0,0,3,1,60,2,3,8,1,1,8,1,90,5,5,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.482143251,619571f7-5dfd-cdc8-22da-8537e3aea724,3,0,1,1,1,90,5,4,3,0,1,0,1,80,5,4,3,0,0,1,1,50,4,2,5,1,1,3,1,60,4,4,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.326552092,61957783-3a0e-76e9-be07-3670737ab501,8,0,1,0,1,50,4,4,7,0,1,6,1,0,2,4,1,0,0,0,0,0,1,1,3,1,1,3,1,60,5,2,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.744019085,61957c7b-87b7-f79f-d7ed-9ee280615ffd,4,0,1,2,1,70,3,4,2,0,1,3,0,40,3,4,0,0,0,0,0,20,2,2,8,1,1,6,1,80,3,4,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.361353319,61957fff-a357-8851-695c-1b82fb363664,3,0,0,3,0,80,4,5,3,0,0,3,1,40,4,4,1,0,0,2,1,30,3,3,8,1,1,8,1,90,5,4,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.752132727,6195818c-8827-0f70-dccf-520e4a83b106,1,0,1,1,1,70,5,5,2,0,0,0,1,0,5,2,1,0,1,0,1,0,5,1,1,0,0,0,1,0,1,1,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.469223951,619587d3-0610-f1a4-88a5-90b315273fb9,4,0,1,3,0,40,3,5,3,0,0,3,0,50,4,5,0,0,0,0,0,0,2,5,6,1,1,3,1,90,5,4,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.826547587,61958835-ecb2-61ef-350b-e6189d8e51fd,3,0,0,4,0,0,1,1,0,0,1,0,0,0,1,1,2,0,0,1,0,0,1,2,3,0,1,3,1,20,1,1,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.379789277,61958a04-b66d-6f31-af48-da75c30343fb,5,0,0,2,0,20,2,4,2,0,0,1,0,20,2,4,1,0,0,0,0,0,1,2,4,1,1,4,1,60,1,3,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.871944909,61958ae9-7960-f45d-2b69-c6e9ca95a8d3,2,0,0,0,0,30,4,3,4,0,1,3,1,10,4,3,2,0,0,0,1,0,3,2,7,1,1,7,1,70,4,3,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.619469842,61958b2c-d417-a242-75d9-781673c7d38b,4,0,0,1,1,30,4,3,5,0,1,1,1,20,4,4,1,0,1,2,1,30,4,3,5,1,1,5,1,70,4,4,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.619469842,61958b62-9645-e51e-ee3c-a20dd4a43854,2,0,1,1,0,90,4,4,2,0,0,0,1,0,5,1,0,0,0,0,0,0,1,1,10,1,1,3,1,70,4,4,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.744019085,61958b7e-7b1f-9302-cb9e-44eddf69b68b,1,0,0,0,0,0,1,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,1,1,0,0,1,1,10,2,3,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.619469842,61958cee-5d14-b250-acfd-9f82865c8453,4,0,NA,2,1,80,4,3,7,0,1,5,1,0,5,3,4,0,0,0,1,10,2,1,7,1,1,5,1,70,5,5,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.199083878,61958e15-8015-c662-63c6-87d170820e6f,1,0,0,0,0,50,4,2,1,0,1,0,1,0,4,3,0,0,0,0,1,0,1,1,0,1,1,0,1,80,4,4,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.752132727,61958efc-4f74-2d83-5bda-95a758c43e0e,7,0,1,5,1,70,4,3,5,0,1,0,1,30,4,3,3,0,0,3,1,30,4,3,7,1,1,6,1,60,5,3,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.752132727,61958f4a-6bbd-2a7e-c7a9-eb696c6e9265,5,0,1,0,1,70,5,5,2,0,1,1,1,20,5,5,3,0,0,0,1,20,2,3,6,1,1,8,1,90,5,4,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.326552092,61958fcf-b450-863f-9468-a08c676fea95,1,0,1,1,0,10,2,3,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,10,1,1,10,1,90,5,5,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.718149278,61959014-ee3d-ab94-141a-405771a01592,1,0,1,0,0,60,3,3,2,0,0,1,1,20,3,2,0,0,0,0,1,20,4,2,1,0,0,2,1,20,3,3,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.148242445,619590a8-6508-1ade-3005-af128d902fca,0,0,0,0,0,0,1,1,0,1,NA,0,0,0,3,3,0,0,0,0,0,0,1,5,0,0,0,0,0,0,1,5,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.504376958,61959268-60f5-5e16-bcc1-818199d0e4e5,0,0,0,0,0,0,1,1,0,0,1,0,0,0,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.317446559,619592cb-ff17-38c9-77d3-c7781acf1344,5,0,0,1,0,20,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,5,1,1,5,1,100,4,3,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.394144901,619592cf-01b4-66cf-1724-41eb88b3feaf,0,0,0,0,0,0,1,5,3,0,0,3,0,0,2,1,1,0,0,0,0,0,2,2,7,1,1,7,1,20,3,4,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.394144901,619592f1-89ac-7d57-1369-6f7b0d6ff1cc,4,0,1,0,0,10,2,2,2,0,1,2,1,0,4,3,0,0,0,0,0,0,1,1,10,1,1,8,1,80,5,4,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.379789277,619592f2-0ba6-eb3b-8805-6e9947f89ada,5,0,0,2,0,20,1,5,3,0,1,3,0,10,3,3,1,0,0,1,0,0,1,2,5,1,1,5,1,30,2,3,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.990464778,61959399-3b0a-888d-0fbd-62f5130547f9,1,0,0,0,0,NA,1,4,0,0,1,2,0,0,1,1,1,0,0,0,0,0,1,4,0,0,0,0,0,0,1,3,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.990464778,61959473-f68a-4ab2-9085-12ee588c7f97,0,0,0,0,0,0,1,5,0,0,0,0,1,0,1,5,0,0,0,0,0,0,1,5,10,1,1,5,1,100,5,5,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.136418898,61959495-6161-87fc-2b8f-c249ff57b4cf,5,0,1,3,0,50,4,4,5,0,0,4,1,0,3,1,3,0,0,1,1,0,4,2,4,1,1,4,1,60,4,4,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.619469842,619594e5-fc1a-ea95-33cf-9f910f9ccce6,2,0,0,0,0,0,2,5,1,0,1,0,0,0,1,5,0,0,0,0,0,0,1,4,7,1,1,7,1,70,5,4,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4.083718183,61959574-5069-7648-a9c3-d8d7fc43bc2f,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,1,0,1,100,4,5,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.678703235,61959574-7c95-e45d-0e7d-1dec6ec7b763,7,1,NA,0,1,100,5,5,7,1,NA,0,1,0,5,5,0,0,0,0,0,0,5,3,3,1,1,5,1,100,5,5,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.379789277,619595d5-2ee9-4e67-cc5e-aaf3f1a0d4b3,4,0,1,2,1,40,3,3,5,1,NA,3,1,0,3,5,3,1,NA,0,1,0,3,4,7,1,1,7,1,50,2,2,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.619469842,61959664-486d-20b2-e5d8-d4405fe1eeba,3,0,0,1,1,60,4,2,1,0,0,0,1,0,2,1,3,0,0,1,1,20,3,1,6,1,1,7,1,70,4,3,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.400733036,6195966b-5423-d7c2-234f-f1d8b0013e3e,2,0,1,1,1,50,2,4,4,0,1,0,1,20,5,4,4,0,0,0,1,30,4,2,2,0,1,1,1,70,1,4,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.317446559,6195966e-7440-ff56-99ba-03eb66ffb576,0,0,0,0,0,10,1,1,0,0,1,5,0,0,4,3,0,0,0,0,0,0,2,1,5,1,1,4,1,70,2,5,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.011787265,61959691-b7f3-807e-c6bf-716ce7876e0a,3,0,1,3,1,70,4,5,6,1,NA,7,1,70,5,5,5,0,1,5,1,40,5,5,7,1,1,7,1,100,5,5,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.619469842,6195969a-e484-4bad-0bdc-5d8a2089f492,5,0,0,0,1,0,2,4,2,0,1,0,1,0,4,3,3,0,0,0,1,0,4,1,10,1,1,10,1,100,3,5,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3.522582745,6195976e-e802-1b01-4288-c584c55fcb76,1,0,0,0,0,10,2,2,1,0,0,0,1,0,2,2,0,0,0,0,1,10,2,2,5,0,0,3,1,50,4,3,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.202578277,61959777-7698-f43e-a353-f0ba2559d35c,0,0,0,0,0,NA,1,1,0,0,1,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,3,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.990464778,619597a9-7f9b-9ab2-69cb-6072000fb0a6,8,0,0,2,0,30,1,5,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,1,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
