RID,important,worry,personal,future,segment
689016fc-0ab5-adad-23b2-9c8cb42b9751,Very important,Very worried,A moderate amount,A great deal,Alarmed
6890175b-0ca6-5be5-7a08-ac24b83f3230,Somewhat important,Somewhat worried,A moderate amount,A great deal,Concerned
6890175d-4477-ea53-916f-819152954246,Very important,Somewhat worried,Only a little,A moderate amount,Concerned
68901760-c7cf-e3b5-6323-d7b47ed97db5,Somewhat important,Somewhat worried,A great deal,A great deal,Concerned
68901762-aef7-ea08-d13d-af6c59012766,Very important,Somewhat worried,A moderate amount,A moderate amount,Concerned
689017b3-ae2f-8ca0-f536-379ef17f615f,Very important,Very worried,A great deal,A great deal,Alarmed
689017c0-995c-fb35-13c0-c4d1d34067e4,Somewhat important,Somewhat worried,Only a little,A great deal,Concerned
689017ec-0482-bd14-1086-3c638ccd1241,Extremely important,Very worried,A moderate amount,A moderate amount,Alarmed
689017fd-c4c1-b9cd-46a7-24171ac409f0,Not too important,Not very worried,Not at all,A moderate amount,Cautious
68901850-a286-6664-e20f-231ffde2b841,Not at all important,Very worried,A moderate amount,A great deal,Concerned
6890186b-9c9e-489f-3c02-94b11212efd0,Extremely important,Very worried,A moderate amount,A great deal,Alarmed
689018c3-28f9-a004-a8e7-97c748db7be8,Extremely important,Very worried,A great deal,A great deal,Alarmed
689018dc-2072-3764-3b04-e6cc1eeb7ef4,Somewhat important,Somewhat worried,Only a little,A moderate amount,Cautious
689018e2-7597-a891-e03a-f0f89ec7fe9e,Somewhat important,Somewhat worried,Only a little,A moderate amount,Cautious
689018e5-ee90-8cf3-233f-add226687dbb,Not too important,Not very worried,Not at all,Not at all,Dismissive
689018e7-c085-f6e4-32d4-a3433bf0ef30,Extremely important,Very worried,A great deal,A great deal,Alarmed
689018f9-66eb-7f37-43a6-134e9ddd9109,Somewhat important,Not very worried,Only a little,Only a little,Cautious
689018fb-0fbb-fa16-8142-6c5b5a0191f0,Extremely important,Very worried,A great deal,A great deal,Alarmed
6890191f-8b74-4b08-7004-a81f6dda6d42,Not too important,Not very worried,Not at all,A moderate amount,Cautious
68901929-9072-64ec-1b79-98820d6f0d4c,Not too important,Not very worried,Not at all,Only a little,Doubtful
68901932-df71-d40a-72de-858119b4d2f5,Extremely important,Somewhat worried,A moderate amount,A moderate amount,Concerned
68901950-128a-f105-911f-374f2bc8e51d,Somewhat important,Not very worried,Only a little,Only a little,Cautious
6890195f-f985-ce9b-08c1-0f946aadf1b7,Somewhat important,Somewhat worried,Only a little,A great deal,Concerned
68901963-7a95-0a78-2f65-3401e9a93c8c,Very important,Not at all worried,A moderate amount,A great deal,Concerned
68901965-c624-e9a8-6a13-77e80d9ec7c8,Extremely important,Somewhat worried,A moderate amount,A great deal,Alarmed
68901980-5c3d-30e5-4c1f-0f6840e745e4,Extremely important,Very worried,A great deal,A great deal,Alarmed
68901982-5302-fca7-5546-50f7fd4b3fa2,Extremely important,Very worried,A great deal,A great deal,Alarmed
68901992-4de0-7ea0-5602-fbf92872ec08,Very important,Very worried,A great deal,A great deal,Alarmed
689019af-6763-20e5-53f5-48c3102970f5,Not at all important,Not at all worried,Don't know,Don't know,Doubtful
689019b0-a4ea-faf2-04f0-83af6b1b6455,Very important,Very worried,A moderate amount,A great deal,Alarmed
689019b3-77ae-aeaf-604d-d6be5c2868d9,Somewhat important,Very worried,A moderate amount,A moderate amount,Concerned
689019b5-05fc-89b5-72cf-f270118ec915,Somewhat important,Somewhat worried,A moderate amount,A great deal,Concerned
689019c8-4dee-ec2d-4216-9729f3656cc8,Very important,Not very worried,Only a little,Only a little,Cautious
689019c9-72a9-9b84-7e41-6ba50da511c3,Not too important,Not very worried,A moderate amount,Only a little,Doubtful
68901a08-5a86-2423-bbc4-e9257e0b19f5,Somewhat important,Not very worried,A moderate amount,A great deal,Concerned
68901a0a-fade-dc3f-a3ab-7a36de05e30d,Very important,Very worried,A moderate amount,A great deal,Alarmed
68901a0d-5533-d103-4177-06c2f0eec1b4,Very important,Not very worried,Only a little,A great deal,Concerned
68901a1d-e636-3751-0bd1-16221d07c210,Extremely important,Very worried,Only a little,A great deal,Alarmed
68901a21-5f05-35f6-36fb-ba95e5e7b534,Extremely important,Very worried,A great deal,A great deal,Alarmed
68901a40-fc26-d71e-71e5-4c632075cbea,Very important,Very worried,A great deal,A great deal,Alarmed
68901a44-38f0-884a-a506-d0bdf81e120c,Very important,Very worried,A moderate amount,A great deal,Alarmed
68901a54-8dd1-4e47-a664-fce8ec0b0f15,Somewhat important,Somewhat worried,A moderate amount,A moderate amount,Cautious
68901a69-80a5-3016-4fe8-614ee1a56a2c,Very important,Somewhat worried,A moderate amount,A great deal,Concerned
68901a85-2cc8-4468-b98e-e0703931c142,Extremely important,Very worried,A great deal,A great deal,Alarmed
68901a87-15ef-e47d-0cae-00226f379201,Very important,Somewhat worried,A great deal,A great deal,Alarmed
68901aad-8d2b-63cf-a899-217704b54246,Somewhat important,Very worried,A great deal,A great deal,Concerned
68901ac8-dc68-1e7e-76c9-9019457c7a28,Very important,Very worried,A moderate amount,A great deal,Alarmed
68901acc-86ba-8f46-0a0a-ee82fed63718,Somewhat important,Very worried,A great deal,A great deal,Concerned
68901ad0-7475-b34d-e7b1-1a64b53e659b,Not at all important,Not at all worried,Not at all,Not at all,Dismissive
68901b08-087d-3c9b-35a0-eb413b852355,Very important,Very worried,A moderate amount,A moderate amount,Concerned
68901b0d-e2f2-0d8a-bb5e-ea0f252e086b,Not too important,Not very worried,Only a little,A moderate amount,Cautious
68901b1f-9b79-0926-a4f7-618c336d5141,Somewhat important,Not very worried,A moderate amount,A great deal,Concerned
68901b27-c8c0-ed62-a049-3694afabd8ed,Somewhat important,Somewhat worried,A moderate amount,A great deal,Concerned
68901b2d-000f-33d1-e606-97d212e9f118,Very important,Somewhat worried,A moderate amount,A moderate amount,Concerned
68901b32-8527-eac6-085a-4da25de08b95,Somewhat important,Somewhat worried,A moderate amount,A great deal,Concerned
68901b36-06d7-fe6e-3ffa-5a99f2681de1,Somewhat important,Not very worried,Don't know,Don't know,Disengaged
68901b52-50ca-8b7f-cab6-ed283a23248f,Extremely important,Very worried,A great deal,A great deal,Alarmed
68901b6e-b703-d677-ce69-2153a6447e3c,Somewhat important,Very worried,A great deal,A great deal,Concerned
68901b96-6808-4fe5-5b55-7b1a534efe90,Somewhat important,Not very worried,Not at all,Only a little,Doubtful
68901bb9-8fa6-9131-4519-55ab8ed9b4fe,Not too important,Not very worried,Don't know,Only a little,Doubtful
68901bcb-63fe-798d-4322-0b1fab02f1a6,Somewhat important,Not very worried,Not at all,A moderate amount,Cautious
68901bdd-3853-203c-1c13-39b988ed8f3f,Somewhat important,Not very worried,A moderate amount,A great deal,Concerned
68901bee-271a-726d-9a70-994dc90c43f1,Extremely important,Somewhat worried,A moderate amount,A great deal,Alarmed
68901bff-b343-b9fc-aeab-d9bde12d48a3,Very important,Somewhat worried,A moderate amount,A moderate amount,Concerned
68901c1c-57a8-22fb-4b5f-c8d460b96093,Extremely important,Very worried,A great deal,A great deal,Alarmed
68901c43-5205-6418-8cfc-fe5bb53bd4a5,Extremely important,Somewhat worried,A great deal,A great deal,Alarmed
68901c77-584d-81f5-c3df-5c04b9ac7d41,Not at all important,Not at all worried,Don't know,Don't know,Doubtful
68901c7e-7d58-1bf6-fc62-82767127af4c,Very important,Somewhat worried,A moderate amount,A great deal,Concerned
6890c947-7fff-df71-c9f4-1b8ba0fa3447,Extremely important,Very worried,A moderate amount,A great deal,Alarmed
6890c94c-ba3e-712a-d267-cb06d000d7c6,Very important,Very worried,A great deal,A moderate amount,Alarmed
6890c94c-c098-107f-a1da-bea683b4a3f9,Somewhat important,Somewhat worried,A moderate amount,A great deal,Concerned
6890c94d-3d40-e58c-e7cc-70ccf37264cd,Extremely important,Somewhat worried,A great deal,A great deal,Alarmed
6890c956-c2e6-725e-78d0-b3539d69320a,Very important,Somewhat worried,A great deal,A great deal,Alarmed
6890c958-ce9c-5727-1950-6d824a2ba52d,Not too important,Not very worried,Not at all,Only a little,Doubtful
6890c95b-c1c9-edf9-fb62-ecf1444576eb,Extremely important,Very worried,A moderate amount,A great deal,Alarmed
6890c95b-e179-6f8f-6470-fb5b71e89473,Not too important,Not very worried,Only a little,A moderate amount,Cautious
6890c95e-5e85-5b5c-3d14-50622af68ba4,Somewhat important,Somewhat worried,A moderate amount,A moderate amount,Cautious
6890c95e-c28e-ffcf-fcf1-914bc429fffe,Extremely important,Very worried,A great deal,A great deal,Alarmed
6890c967-287d-091e-5eef-1f4c361cb17b,Extremely important,Very worried,A moderate amount,A great deal,Alarmed
6890c967-6e82-1367-1737-afb10d3bec00,Very important,Very worried,A great deal,A great deal,Alarmed
6890c967-96bb-9b61-2d81-79509abf3399,Not at all important,Not at all worried,Don't know,Only a little,Doubtful
6890c96a-0cbb-7c5c-e455-361ecfd9b46b,Not too important,Not very worried,Not at all,Not at all,Dismissive
6890c971-1f4e-f2cb-bbe8-ecab7a1b38ed,Somewhat important,Somewhat worried,Only a little,Only a little,Cautious
6890c972-fd05-4199-a7f7-58320a1447f1,Somewhat important,Somewhat worried,A moderate amount,A great deal,Concerned
6890c97b-e207-b6bb-b6fa-3385b3ab930c,Very important,Very worried,Only a little,A great deal,Alarmed
6890c980-2848-ee03-fdc2-3d45c9debda6,Extremely important,Very worried,Don't know,Don't know,Alarmed
6890c980-4a22-41a7-5db6-409a6a55e84e,Extremely important,Very worried,A great deal,A great deal,Alarmed
6890c984-066a-10a0-b453-87096971d82b,Extremely important,Very worried,A moderate amount,A great deal,Alarmed
6890c984-8088-572c-0b63-d8499a7b45b0,Extremely important,Very worried,A moderate amount,A great deal,Alarmed
6890c987-0170-bb4b-9972-d14202fb3925,Not too important,Not very worried,Only a little,Only a little,Doubtful
6890c989-99aa-c7c5-62ed-62005c75dd16,Very important,Somewhat worried,Only a little,A great deal,Concerned
6890c991-f740-c21f-2ad0-e861e654d3cd,Very important,Somewhat worried,A moderate amount,A great deal,Concerned
6890c9a1-a97e-c40b-5212-0aa4b5fc1583,Somewhat important,Not very worried,Only a little,Only a little,Cautious
6890c9a8-3935-e545-5067-d5f8357b24b6,Somewhat important,Not very worried,Only a little,A moderate amount,Cautious
6890c9a9-a0c7-9ca9-8c06-82a3463bd61b,Very important,Somewhat worried,A moderate amount,A great deal,Concerned
6890c9b9-9a71-37c7-420d-b45caa056bca,Very important,Somewhat worried,A moderate amount,A great deal,Concerned
6890c9bc-f87e-5308-ad9c-baf45e578920,Not at all important,Not at all worried,A great deal,A great deal,Doubtful
6890c9bd-8289-a6ab-eb36-2da39b89a575,Somewhat important,Not at all worried,Don't know,Don't know,Disengaged
6890c9c4-d994-ad2f-5811-0091d7beecd1,Extremely important,Very worried,A great deal,A great deal,Alarmed
6890c9cb-63d6-71a4-305f-c3bca3b45da3,Not at all important,Not at all worried,Not at all,Not at all,Dismissive
6890c9cd-b6f3-afbe-90b2-efc803a7d078,Somewhat important,Not very worried,Don't know,Don't know,Disengaged
6890c9cf-2773-aae3-a23a-94ebd16d3a4e,Somewhat important,Not very worried,Don't know,Don't know,Disengaged
6890c9cf-6a67-6615-e21b-b90165b9f430,Extremely important,Very worried,A moderate amount,A great deal,Alarmed
6890c9da-6245-31f1-8eb4-c0a824ff560e,Very important,Very worried,A great deal,A great deal,Alarmed
